DNA_ID,Sample_ID,Concentration_ng_ul,Filter_Extracted,Extraction_Date,Lot_Number,Project_ID,Location_ID,Date_Collected,Station_ID,Deployment_ID,FP_or_PT_Sample_Remaining_fraction,SD_remaining_est,Freezer_Temp_NegDegrees,Notes,Date,D_Number,Deployment_Type,Niskin_bottles,Deployment_Depth_m,Integrated_Depths_m,Depth_Class,Max_Depth,Temp_at_Deployment,Deployment_Time,Total_Filtration_Time_min,Volume_Filtered_mL,Storage_Code,Fraction,Replicate,Upper_Size_um,Lower_Size_um,NOTES,Start_Filtration_Time,End_Filtration_Time,Latitude,Longitude,lag,water_extracted,month
AP_D23,AAH_ONT_20230517_041_FP_MW1,43.4,0.5,20230616,172033163,AAH,ONT,20230517,41,AAH_ONT_20230517_041_2,0.5,NA,NA,NA,20230517,2,Rosette Cast,2,24,NA,M,NA,NA,0-01-01T20:01:00Z,NA,3060,FF,Whole,1,20,0.22,NA,0-01-01T20:15:00Z,0-01-01T20:26:00Z,43.71661666666667,-78.02736666666667,25,1530,May
AP_D31,AAH_ONT_20230517_055_FP_MW1,55.4,0.5,20230614,172033163,AAH,ONT,20230517,55,AAH_ONT_20230517_055_2,0.5,NA,NA,NA,20230517,2,Rosette Cast,2,13,NA,M,NA,NA,0-01-01T10:30:00Z,NA,5770,FF,Whole,1,20,0.22,NA,0-01-01T10:56:00Z,0-01-01T11:26:00Z,43.44421666666667,-77.43893333333334,56,2885,May
AP_D39,AAH_ONT_20230518_033_FP_BW1,15.2,0.5,20230615,172033163,AAH,ONT,20230518,33,AAH_ONT_20230518_033_3,0.5,NA,NA,NA,20230518,3,Rosette Cast,3,135,NA,B,NA,NA,0-01-01T11:47:00Z,NA,5240,FF,Whole,1,20,0.22,NA,0-01-01T12:02:00Z,0-01-01T12:21:00Z,43.596916666666665,-78.81335,34,2620,May
AP_D47,AAH_ONT_20230518_035_FP_EW1,88.6,0.5,20230615,172033163,AAH,ONT,20230518,35,AAH_ONT_20230518_035_3,0.5,NA,NA,NA,20230518,3,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T07:58:00Z,NA,3060,FF,Whole,1,20,0.22,NA,0-01-01T08:21:00Z,0-01-01T08:43:00Z,43.36183333333334,-78.72948333333333,45,1530,May
AP_D55,AAH_ONT_20230519_012_FP_EW1,73,0.5,20230614,172033163,AAH,ONT,20230519,12,AAH_ONT_20230519_012_1,0.5,NA,NA,NA,20230519,1,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T11:15:00Z,NA,3500,FF,Whole,1,20,0.22,NA,0-01-01T11:27:00Z,0-01-01T11:45:00Z,43.5035,-79.35378333333334,30,1750,May
AP_D70,AAH_ONT_20230927_008_FP_EW2,42.9,0.5,20231011,175026656_1,AAH,ONT,20230927,8,AAH_ONT_20230927_008_1,0.75,NA,NA,NA,20230927,1,Rosette Cast,3,5,NA,E,NA,NA,0-01-01T20:28:00Z,NA,3960,FF,Whole,2,20,0.22,NA,0-01-01T21:12:00Z,0-01-01T21:37:00Z,43.62221667,-79.45091667,69,1980,September
AP_D78,AAH_ONT_20230927_012_FP_BW2,6,0.5,20231011,175026656_1,AAH,ONT,20230927,12,AAH_ONT_20230927_012_3,0.75,NA,NA,NA,20230927,3,Rosette Cast,3,102,NA,B,NA,NA,0-01-01T23:30:00Z,NA,4260,FF,Whole,2,20,0.22,NA,0-01-01T00:21:00Z,0-01-01T00:39:00Z,43.50345,-79.35313333,69,2130,September
AP_D86,AAH_ONT_20230927_029_FP_MW2,33.3,0.25,20231016,175026656_1,AAH,ONT,20230927,29,AAH_ONT_20230927_029_2,0.75,NA,NA,NA,20230927,2,Rosette Cast,3,15,NA,M,NA,NA,0-01-01T04:21:00Z,NA,3400,FF,Whole,2,20,0.22,NA,0-01-01T05:17:00Z,0-01-01T05:44:00Z,43.81948333,-78.87111667,83,850,September
AP_D94,AAH_ONT_20230927_033_FP_BW2,5.75,0.25,20231006,172033163,AAH,ONT,20230927,33,AAH_ONT_20230927_033_3,0.75,NA,NA,day sample,20230927,3,Rosette Cast,3,134.9,NA,B,NA,NA,0-01-01T09:25:00Z,NA,3740,FF,Whole,2,20,0.22,Day sample,0-01-01T10:26:00Z,0-01-01T10:43:00Z,43.5965,-78.81436667,78,935,September
AP_D102,AAH_ONT_20230926_038_FP_EW2,9.88,0.25,20231011,175026656_1,AAH,ONT,20230926,38,AAH_ONT_20230926_038_1,0.75,NA,NA,NA,20230926,1,Rosette Cast,3,5,NA,E,NA,NA,0-01-01T10:45:00Z,NA,3300,FF,Whole,2,20,0.22,end filtration time is estimate,0-01-01T12:05:00Z,0-01-01T12:35:00Z,43.38313333,-77.98871667,110,825,September
AP_D8,AAH_ONT_20230515_074_FP_BW2,11.6,0.5,20230609,172033163,AAH,ONT,20230515,74,AAH_ONT_20230515_074_2,0.5,NA,NA,NA,20230515,2,Rosette Cast,2,66,NA,B,NA,NA,0-01-01T16:37:00Z,NA,3360,FF,Whole,2,20,0.22,NA,0-01-01T17:30:00Z,0-01-01T17:50:00Z,43.747366666666665,-76.51155,73,1680,May
AP_D16,AAH_ONT_20230516_064_FP_MW2,101,0.5,20230614,172033163,AAH,ONT,20230516,64,AAH_ONT_20230516_064_2,0.5,NA,NA,NA,20230516,2,Rosette Cast,2,14,NA,M,NA,NA,0-01-01T02:15:00Z,NA,4250,FF,Whole,2,20,0.22,NA,0-01-01T03:10:00Z,0-01-01T03:33:00Z,43.51975,-76.91836666666667,78,2125,May
AP_D24,AAH_ONT_20230517_041_FP_MW2,30,0.5,20230515,172033163,AAH,ONT,20230517,41,AAH_ONT_20230517_041_2,0.5,NA,NA,NA,20230517,2,Rosette Cast,2,24,NA,M,NA,NA,0-01-01T20:01:00Z,NA,3140,FF,Whole,2,20,0.22,NA,0-01-01T20:36:00Z,0-01-01T20:46:00Z,43.71661666666667,-78.02736666666667,45,1570,May
AP_D32,AAH_ONT_20230517_055_FP_MW2,56.7,0.5,20230615,172033163,AAH,ONT,20230517,55,AAH_ONT_20230517_055_2,0.5,NA,NA,NA,20230517,2,Rosette Cast,2,13,NA,M,NA,NA,0-01-01T10:30:00Z,NA,3600,FF,Whole,2,20,0.22,NA,0-01-01T11:43:00Z,0-01-01T12:03:00Z,43.44421666666667,-77.43893333333334,93,1800,May
AP_D40,AAH_ONT_20230518_033_FP_BW2,17.7,0.5,20230616,172033163,AAH,ONT,20230518,33,AAH_ONT_20230518_033_3,0.5,NA,NA,NA,20230518,3,Rosette Cast,3,135,NA,B,NA,NA,0-01-01T11:47:00Z,NA,5040,FF,Whole,2,20,0.22,NA,0-01-01T12:06:00Z,0-01-01T12:35:00Z,43.596916666666665,-78.81335,48,2520,May
AP_D48,AAH_ONT_20230518_035_FP_MW1,66.6,0.5,20230616,172033163,AAH,ONT,20230518,35,AAH_ONT_20230518_035_1,0.5,NA,NA,NA,20230518,1,Rosette Cast,2,10,NA,M,NA,NA,0-01-01T07:58:00Z,NA,3400,FF,Whole,1,20,0.22,NA,0-01-01T08:21:00Z,0-01-01T08:41:00Z,43.36183333333334,-78.72948333333333,43,1700,May
AP_D57,AAH_ONT_20230519_012_FP_MW1,119,0.5,20230616,172033163,AAH,ONT,20230519,12,AAH_ONT_20230519_012_2,0.5,NA,NA,NA,20230519,2,Rosette Cast,3,15,NA,M,NA,NA,0-01-01T10:34:00Z,NA,4610,FF,Whole,1,20,0.22,NA,0-01-01T10:50:00Z,0-01-01T11:17:00Z,43.5035,-79.35378333333334,43,2305,May
