DNA_ID,input,filtered,denoisedF,denoisedR,merged,nochim,perc_reads_retained,Sample_ID,Concentration_ng_ul,Filter_Extracted,Extraction_Date,Lot_Number,Project_ID,Location_ID,Date_Collected,Station_ID,Deployment_ID,FP_or_PT_Sample_Remaining_fraction,SD_remaining_est,Freezer_Temp_NegDegrees,Notes,Date,D_Number,Deployment_Type,Niskin_bottles,Deployment_Depth_m,Integrated_Depths_m,Depth_Class,Max_Depth,Temp_at_Deployment,Deployment_Time,Total_Filtration_Time_min,Volume_Filtered_mL,Storage_Code,Fraction,Replicate,Upper_Size_um,Lower_Size_um,NOTES,Start_Filtration_Time,End_Filtration_Time,Latitude,Longitude,lag,water_extracted,month,avg_cells_per_ml,Depth_Range,Chem_Depth,is_Fmax,is_stratified,EPA_Comments,NH4,NOx,SRP,TN,TP,K,Na,Ca,Mg,Cl,SO4,DOC,Si,chl_a,pressure,temperature,conductivity,oxygenRaw,par,beamAttenuation,beamTransmission,fluorescence,spar,upoly,oxygen,conductivity2,flag,salinity,temperature2,oxygenRaw2,conductivity3,oxygen2,transect,good_oxygen
AP_D127,89427,67712,66574,66565,64254,62215,69.5707113064287,AAH_ONT_20230923_064_FP_EW1,47.3,0.25,20231013,175026656_1,AAH,ONT,20230923,64,AAH_ONT_20230923_064_1,0.75,NA,NA,NA,20230923,1,Rosette Cast,3,5,NA,E,NA,NA,0-01-01T16:10:00Z,NA,4000,FF,Whole,1,20,0.22,was just pumping air for a bit randomly in the middle (fixed) so let it go for longer,0-01-01T17:15:00Z,0-01-01T17:46:00Z,43.5251,-76.92655,96,1000,September,5092765.1867372785,< 10 m,5,no,unstratified,NA,8.6,127,1.92,313,5.89,1.596,13.482,30.42,8.544,23.4034,23.2402,2.639,0.636,2.24,4.858,20.4644,273.817469,2.569,384.06,0.8452,80.9538,0.87179,1425.6,0.0558845,8.9226,275.02475,0,2085143.1353631085,20.4636,2.5604,301.099,9.0796,T5,9.0796
AP_D135,69440,53514,52565,52540,50817,49770,71.67338709677419,AAH_ONT_20230923_066_FP_BW1,26.3,0.25,20231011,175026656_1,AAH,ONT,20230923,66,AAH_ONT_20230923_066_2,0.75,NA,NA,NA,20230923,2,Rosette Cast,3,15.8,NA,B,NA,NA,0-01-01T11:57:00Z,NA,5400,FF,Whole,1,20,0.22,NA,0-01-01T12:15:00Z,0-01-01T12:47:00Z,43.3332,-76.84138333,50,1350,September,5648007.717706654,10-20 m,16,no,unstratified,NA,19.4,135,0.74,314,5.84,1.594,13.655999999999999,30.16,8.74,23.7164,23.3795,2.786,0.708,1.33,15.479,19.9489,272.491259,2.4322,49.79,0.4636,89.0571,0.51648,1685.6,0.0554688,8.4213,273.472447,0,2122570.229558069,19.921,2.42,303.11,8.5579,T5,8.5579
AP_D143,90058,52786,51606,51529,49874,48621,53.98854071820382,AAH_ONT_20230924_717_FP_MW1,10.7,0.25,20231006,172033163,AAH,ONT,20230924,717,AAH_ONT_20230924_717_2,0.75,NA,NA,NA,20230924,2,Rosette Cast,3,18.5,NA,M,NA,NA,0-01-01T10:02:00Z,NA,4200,FF,Whole,1,20,0.22,NA,0-01-01T10:23:00Z,0-01-01T10:53:00Z,43.3004,-77.44073333,51,1050,September,2062146.424130785,10-20 m,18.5,no,unstratified,NA,4.98,379,0.927,525,5.52,1.591,13.431000000000001,31.86,8.614,23.1711,23.176,2.748,1.32,0.39,18.17,4.8534500000000005,187.824349,2.2173,4.0841,0.3228,92.2461,0.22344,275.68,0.0554688,10.7023,188.96357799999998,0,2227709.4221141604,4.8664000000000005,2.2076,314.565,10.85735,T4,10.85735
AP_D151,67383,48591,47492,47393,45950,44857,66.5702031669709,AAH_ONT_20230926_033_FP_BW1,8.39,0.5,20231003,172033163,AAH,ONT,20230926,33,AAH_ONT_20230926_033_3,0.75,NA,NA,Night sample,20230926,3,Rosette Cast,3,134,NA,B,NA,NA,0-01-01T23:52:00Z,NA,4140,FF,Whole,1,20,0.22,Night sample,0-01-01T00:08:00Z,0-01-01T00:24:00Z,43.59733333,-78.8149,32,2070,September,1277153.8839511857,>100 m,134.9,no,unstratified,NA,6.81,359,2.58,506,4.15,1.393,13.428,31.32,8.56,23.2037,23.3232,2.487,1.49,0.05,131.403,3.9459,183.766113,0.022,1e-12,0.2321,94.3634,0.087912,0,0.0554688,-3.2457,184.841224,0,2257643.6442567576,3.9472,2.2955,317.412,11.9033,T2,11.9033
AP_D104,110236,77235,75187,75069,71810,67559,61.285786857288,AAH_ONT_20230926_038_FP_BW2,9.96,0.25,20231009,172033163,AAH,ONT,20230926,38,AAH_ONT_20230926_038_2,0.75,NA,NA,NA,20230926,2,Rosette Cast,3,16.6,NA,B,NA,NA,0-01-01T10:29:00Z,NA,5280,FF,Whole,2,20,0.22,NA,0-01-01T10:43:00Z,0-01-01T11:07:00Z,43.38313333,-77.98871667,38,1320,September,1822630.0382224268,10-20 m,16.6,no,unstratified,NA,11,378,0.813,582,4.29,1.581,13.464000000000002,31.25,8.6,23.2611,23.0832,2.409,1.29,0.51,16.27,5.2679,192.17360300000001,0.0244,25.162,0.3194,92.3245,0.2381,1331.1,0.0554688,-3.0671,193.483397,0,2290132.894401092,5.2685,2.1624,317.434,10.4544,T3,10.4544
AP_D112,106002,77233,75705,75802,72826,70663,66.66194977453256,AAH_ONT_20230926_043_FP_EW2,39,0.25,20231013,175026656_1,AAH,ONT,20230926,43,AAH_ONT_20230926_043_1,0.75,NA,NA,NA,20230926,1,Rosette Cast,3,5,NA,E,NA,NA,0-01-01T04:13:00Z,NA,3780,FF,Whole,2,20,0.22,NA,0-01-01T05:09:00Z,0-01-01T05:34:00Z,43.94891667,-78.04683333,81,945,September,5673144.12986415,< 10 m,5,no,unstratified,NA,9.94,133,0.352,362,4.41,1.501,13.413,29.22,8.578,23.5313,22.9945,3.061,0.694,2.45,4.939,19.4589,268.258563,0.0134,1e-12,0.9208,79.4378,1.1172,0,0.0554688,-2.2356,269.331659,0,2098030.3174161497,19.4562,2.5495,301.668,9.2125,T3,9.2125
AP_D120,87330,63232,62231,62212,59990,58656,67.16592236344898,AAH_ONT_20230926_048_FP_BW2,18.7,0.25,20231010,175026656_1,AAH,ONT,20230926,48,AAH_ONT_20230926_048_3,0.75,NA,NA,NA,20230926,3,Rosette Cast,3,31.5,NA,B,NA,NA,0-01-01T00:45:00Z,NA,3600,FF,Whole,2,20,0.22,NA,0-01-01T01:34:00Z,0-01-01T01:56:00Z,43.87971667,-77.43926667,71,900,September,5620469.737508635,30-40 m,31.5,no,unstratified,NA,11.3,128,0.352,329,4.43,1.556,13.23,28.53,8.554,23.6881,22.7589,2.618,0.469,2.13,30.912,19.2562,267.83746,0.0171,1e-12,0.757,82.7575,0.80586,0,0.0558845,-2.2337,268.845406,0,2114154.626762108,19.2538,2.4383,302.545,8.7755,T4,8.7755
AP_D128,101518,76281,74896,74835,72180,70505,69.45073780019307,AAH_ONT_20230923_064_FP_EW2,42.9,0.25,20231010,175026656_1,AAH,ONT,20230923,64,AAH_ONT_20230923_064_1,0.75,NA,NA,NA,20230923,1,Rosette Cast,3,5,NA,E,NA,NA,0-01-01T16:10:00Z,NA,3640,FF,Whole,2,20,0.22,NA,0-01-01T16:19:00Z,0-01-01T16:46:00Z,43.5251,-76.92655,36,910,September,6407223.427584619,< 10 m,5,no,unstratified,NA,8.6,127,1.92,313,5.89,1.596,13.482,30.42,8.544,23.4034,23.2402,2.639,0.636,2.24,4.858,20.4644,273.817469,2.569,384.06,0.8452,80.9538,0.87179,1425.6,0.0558845,8.9226,275.02475,0,2085143.1353631085,20.4636,2.5604,301.099,9.0796,T5,9.0796
AP_D136,85379,67302,66075,66035,63586,62270,72.933625364551,AAH_ONT_20230923_066_FP_BW2,30.3,0.25,20231018,175026656_1,AAH,ONT,20230923,66,AAH_ONT_20230923_066_2,0.75,NA,NA,NA,20230923,2,Rosette Cast,3,15.8,NA,B,NA,NA,0-01-01T11:57:00Z,NA,5280,FF,Whole,2,20,0.22,Small fuzz ball within cartridge,0-01-01T12:10:00Z,0-01-01T12:41:00Z,43.3332,-76.84138333,44,1320,September,6474467.332719318,10-20 m,16,no,unstratified,NA,19.4,135,0.74,314,5.84,1.594,13.655999999999999,30.16,8.74,23.7164,23.3795,2.786,0.708,1.33,15.479,19.9489,272.491259,2.4322,49.79,0.4636,89.0571,0.51648,1685.6,0.0554688,8.4213,273.472447,0,2122570.229558069,19.921,2.42,303.11,8.5579,T5,8.5579
AP_D144,81321,55348,53941,53978,52129,50204,61.735591052741604,AAH_ONT_20230924_717_FP_MW2,12.8,0.25,20231018,175026656_1,AAH,ONT,20230924,717,AAH_ONT_20230924_717_2,0.75,NA,NA,NA,20230924,2,Rosette Cast,3,18.5,NA,M,NA,NA,0-01-01T10:02:00Z,NA,4000,FF,Whole,2,20,0.22,NA,0-01-01T11:19:00Z,0-01-01T11:40:00Z,43.3004,-77.44073333,98,1000,September,1986416.9785862307,10-20 m,18.5,no,unstratified,NA,4.98,379,0.927,525,5.52,1.591,13.431000000000001,31.86,8.614,23.1711,23.176,2.748,1.32,0.39,18.17,4.8534500000000005,187.824349,2.2173,4.0841,0.3228,92.2461,0.22344,275.68,0.0554688,10.7023,188.96357799999998,0,2227709.4221141604,4.8664000000000005,2.2076,314.565,10.85735,T4,10.85735
